Gene	Clade_0	Clade_1	Clade_2	Clade_3	Clade	Ecotype	Allele	Name	File	HV
9550_T488-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9550	1	9550_G488	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9536_T221.1-R4	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9536	4	9536_G221.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6906_T349.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6906	1	6906_G349.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9583_T348.1-R4	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9583	4	9583_G348.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
108_T444-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	108	1	108_G444	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9721_T371.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9721	1	9721_G371.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6924_T299-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6924	1	6924_G299	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7416_T296.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7416	1	7416_G296.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9580_T369.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9580	1	9580_G369.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9764_T519.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9764	1	9764_G519.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9100_T401.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9100	1	9100_G401.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9784_T385.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9784	1	9784_G385.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
10015_T267.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	10015	1	10015_G267.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9869_T279.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9869	1	9869_G279.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9536_T221.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9536	1	9536_G221.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9583_T348.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9583	1	9583_G348.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
1925_T471-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	1925	1	1925_G471	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9549_T266-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9549	1	9549_G266	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7288_T435-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7288	1	7288_G435	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7328_T482-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7328	1	7328_G482	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9332_T438-R2	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9332	2	9332_G438	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9332_T438-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9332	1	9332_G438	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9332_T438-R3	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9332	3	9332_G438	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
5784_T338.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	5784	1	5784_G338.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9597_T372.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9597	1	9597_G372.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7167_T341-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7167	1	7167_G341	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6909_T373.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6909	1	6909_G373.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
Athaliana_AT5G44510.1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	Athaliana	1	Athaliana_AT5G44510.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9557_T284.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9557	1	9557_G284.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6939_T269.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6939	1	6939_G269.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7413_T351-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7413	1	7413_G351	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7308_T191-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7308	1	7308_G191	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9533_T314.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9533	1	9533_G314.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6974_T409.2-R2	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6974	2	6974_G409.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
6974_T409.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	6974	1	6974_G409.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9792_T397.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9792	1	9792_G397.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9879_T310.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9879	1	9879_G310.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7058_T273-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7058	1	7058_G273	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9537_T358.2-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	9537	1	9537_G358.2	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
7273_T248.1-R1	Int10308_65	Int10308_65_NS_N_65	NA	NA	Int10308_65_NS_N_65	7273	1	7273_G248.1	../Autoclades_70_Refinement_1/Int10308_65_NS_N_65/Int10308_65_NS_N_65.best.fa	0
9554_T370-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9554	1	9554_G370	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
6906_T377-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	6906	1	6906_G377	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
9871_T460.2-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9871	1	9871_G460.2	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
9543_T388-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9543	1	9543_G388	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
9600_T331-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9600	1	9600_G331	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
9947_T324-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9947	1	9947_G324	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
9944_T227-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9944	1	9944_G227	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
9549_T258-R1	Int10374_57	Int10374_57_106_R_8	NA	NA	Int10374_57_106_R_8	9549	1	9549_G258	../Autoclades_70_Refinement_1/Int10374_57_106_R_8/Int10374_57_106_R_8.best.fa	0
7167_T225-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7167	1	7167_G225	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
6939_T235-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	6939	1	6939_G235	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7328_T510-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7328	1	7328_G510	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7273_T306-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7273	1	7273_G306	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7417_T174-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7417	1	7417_G174	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9580_T293-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9580	1	9580_G293	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
108_T380-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	108	1	108_G380	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7322_T248-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7322	1	7322_G248	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9134_T306-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9134	1	9134_G306	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7413_T262-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7413	1	7413_G262	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9518_T350-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9518	1	9518_G350	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7111_T251-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7111	1	7111_G251	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9557_T480-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9557	1	9557_G480	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7288_T335.1-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7288	1	7288_G335.1	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
Athaliana_AT5G11250.1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	Athaliana	1	Athaliana_AT5G11250.1	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7396_T245-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7396	1	7396_G245	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7213_T265-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7213	1	7213_G265	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
6909_T368-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	6909	1	6909_G368	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9610_T304-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9610	1	9610_G304	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9536_T218-R2	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9536	2	9536_G218	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7416_T309-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7416	1	7416_G309	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9537_T414-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9537	1	9537_G414	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7308_T334-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7308	1	7308_G334	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9721_T368-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9721	1	9721_G368	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7186_T242-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7186	1	7186_G242	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
6974_T389-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	6974	1	6974_G389	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
10015_T231-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	10015	1	10015_G231	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7058_T217-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	7058	1	7058_G217	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
5993_T282.1-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	5993	1	5993_G282.1	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9536_T218-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9536	1	9536_G218	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
1925_T342-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	1925	1	1925_G342	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9100_T364-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9100	1	9100_G364	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9887_T364-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9887	1	9887_G364	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9533_T329-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9533	1	9533_G329	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9542_T330-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9542	1	9542_G330	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9837_T408-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9837	1	9837_G408	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9879_T314-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9879	1	9879_G314	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
6899_T341-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	6899	1	6899_G341	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9597_T519-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9597	1	9597_G519	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9764_T319-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9764	1	9764_G319	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9545_T280-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9545	1	9545_G280	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9869_T265-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9869	1	9869_G265	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9550_T330-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9550	1	9550_G330	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9669_T392-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9669	1	9669_G392	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
6981_T372-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	6981	1	6981_G372	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9583_T420-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9583	1	9583_G420	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9792_T531-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9792	1	9792_G531	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9654_T290-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9654	1	9654_G290	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
9784_T521-R1	Int10374_57	Int10374_57_106_L_49	NA	NA	Int10374_57_106_L_49	9784	1	9784_G521	../Autoclades_70_Refinement_1/Int10374_57_106_L_49/Int10374_57_106_L_49.best.fa	0
7417_T351-R1	Int10431_290	Int10431_290_342_L_59	NA	NA	Int10431_290_342_L_59	7417	1	7417_G351	../Autoclades_70_Refinement_1/Int10431_290_342_L_59/Int10431_290_342_L_59.best.fa	1
9550_T490-R1	Int10431_290	Int10431_290_342_L_59	NA	NA	Int10431_290_342_L_59	9550	1	9550_G490	../Autoclades_70_Refinement_1/Int10431_290_342_L_59/Int10431_290_342_L_59.best.fa	1
